title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
48V direct to CPU goes Mainstream,3/9/17,10:30,3/9/17,10:55,,Grand Ballroom B,,,
Mellanox: OCP Networking Done Right,3/8/17,16:30,3/8/17,16:45,,Hall A&B,,,
Hyve: Hyve Designed 48V OCP v2 Rack,3/8/17,14:35,3/8/17,15:00,,Great America Ballroom J/K,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,,Grand Ballroom C,,,
Project Olympus Servers,3/9/17,10:00,3/9/17,10:55,,Grand Ballroom F,,,
Hardware Management for CG-OpenRack-19,3/9/17,11:30,3/9/17,11:55,,Grand Ballroom D,,,
CNEX: LightNVM: The Open-Channel SSD Subsystem,3/8/17,15:50,3/8/17,16:05,,Hall A&B,,,
Specification for OCP - Telecom Sled,3/9/17,9:00,3/9/17,9:25,,Grand Ballroom E,,,
Tales From the Field: L1 Issues,3/9/17,10:30,3/9/17,10:55,,Great America Ballroom J,,,
Testing to enable 100G fabrics at scale (TOR and Optics),3/9/17,11:30,3/9/17,11:55,,Great America Ballroom K,,,
Big Basin: Flexible GPU Expander,3/9/17,13:30,3/9/17,13:55,,Grand Ballroom C,,,
Wiwynn: OCP Migration + SDDC Machine Learning,3/8/17,15:30,3/8/17,15:45,,Hall A&B,,,
Hardware Lifecycle at Scale,3/9/17,10:00,3/9/17,10:55,,Grand Ballroom D,,,
Delivering Carrier-Grade OCP to Telco Data Centers,3/9/17,10:00,3/9/17,10:55,,Grand Ballroom E,,,
OCP Trial Results for Telco Infrastructure,3/9/17,11:00,3/9/17,11:25,,Grand Ballroom E,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,,Grand Ballroom E,,,
Microsoft: Enabling Cloud Workloads Through Innovations in Silicon,3/8/17,14:35,3/8/17,15:00,,Grand Ballroom E/F,,,
Facebook: Zooming In On the Network,3/8/17,12:10,3/8/17,12:25,,Hall A&B,,,
Early Bird Registration,3/7/17,13:00,3/7/17,18:00,,Lobby,,,
Seagate: NVMe SSD Proliferation in OCP Servers,3/8/17,13:10,3/8/17,13:25,,Hall A&B,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,9:25,,Great America Ballroom K,,,
Marvell: Extending the Lifecycle of 3.2T Switches,3/8/17,14:30,3/8/17,14:45,,Hall A&B,,,
Project Olympus GPU Expansion,3/9/17,13:00,3/9/17,13:25,,Grand Ballroom F,,,
Inspur: Inspur Leads Convergence in Open Rack Scale Designs,3/8/17,17:30,3/8/17,17:45,,Hall A&B,,,
The OpenBMC Project,3/9/17,9:00,3/9/17,9:25,,Grand Ballroom D,,,
Expo Hall Theater: Sony OAI,3/8/17,13:30,3/8/17,13:45,,Hall A&B,,,
"Canonical: Total Automation of OCP Infrastructure for Speed, Cost and Accuracy in the DC",3/8/17,17:30,3/8/17,17:55,,Great America Ballroom J/K,,,
Switch Abstraction Interface - SAI,3/9/17,9:30,3/9/17,9:55,,Great America Ballroom K,,,
Power Considerations for Open Rack,3/9/17,10:00,3/9/17,10:25,,Grand Ballroom B,,,
All NVMe Flash Array for Hyper-efficiency in Rack Scale,3/9/17,10:00,3/9/17,10:25,,Grand Ballroom A,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,,Grand Ballroom A,,,
Executive Track: Seagate,3/8/17,15:10,3/8/17,15:35,,Grand Ballroom E/F,,,
Facebook's Open Networking Hardware,3/9/17,9:30,3/9/17,9:55,,Great America Ballroom J,,,
OpenSwitch (OPX) Introduction,3/9/17,13:30,3/9/17,13:55,,Great America Ballroom K,,,
Expo Hall Theater: Applied Micro,3/8/17,17:10,3/8/17,17:25,,Hall A&B,,,
ONIE with Secure Boot,3/9/17,11:30,3/9/17,11:55,,Great America Ballroom J,,,
OpenDrive Qualification,3/9/17,14:30,3/9/17,14:55,,Grand Ballroom A,,,
Expo Hall Theater: Delta/Agema,3/8/17,13:50,3/8/17,14:05,,Hall A&B,,,
Marvell: Modular Networking,3/8/17,16:20,3/8/17,16:45,,Grand Ballroom E/F,,,
Expo Hall Theater: Edgecore (Accton),3/8/17,16:10,3/8/17,16:25,,Hall A&B,,,
Registration Open,3/9/17,8:00,3/9/17,12:00,,Lobby,,,
Executive Track: AMD,3/8/17,16:55,3/8/17,17:20,,Great America Ballroom J/K,,,
Software-Defined Storage Architectures on Open Compute,3/9/17,10:30,3/9/17,11:25,,Grand Ballroom A,,,
Experiences in Operating a Mixed OCP/Non-OCP Data Center Network,3/9/17,13:30,3/9/17,13:55,,Great America Ballroom J,,,
Microsoft: Designing Open Source Hardware to Inspire an Ecosystem,3/8/17,12:30,3/8/17,12:45,,Hall A&B,,,
Facebook OpenBMC Updates,3/9/17,9:30,3/9/17,9:55,,Grand Ballroom D,,,
Controlling the Network with APIs,3/9/17,14:00,3/9/17,14:25,,Great America Ballroom K,,,
Networking SAI Behavioral Model Implementation in P4,3/9/17,10:00,3/9/17,10:25,,Great America Ballroom K,,,
Facility Requirements for Deploying OCP Racks,3/9/17,13:30,3/9/17,13:55,,Grand Ballroom B,,,
Executive Track: Delta/Agema,3/8/17,15:45,3/8/17,16:10,,Grand Ballroom E/F,,,
